순번,API 통신방식,메뉴 위치,API 명,API ID,실전 TR_ID,모의 TR_ID,HTTP Method,URL 명,실전 Domain,모의 Domain
254,REST,[해외주식] 기본시세,해외주식 현재체결가,v1_해외주식-009,HHDFS00000300,HHDFS00000300,GET,/uapi/overseas-price/v1/quotations/price,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
255,REST,[해외주식] 기본시세,해외주식조건검색,v1_해외주식-015,HHDFS76410000,HHDFS76410000,GET,/uapi/overseas-price/v1/quotations/inquire-search,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
256,REST,[해외주식] 기본시세,해외주식 상품기본정보,v1_해외주식-034,CTPF1702R,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/search-info,https://openapi.koreainvestment.com:9443,모의투자 미지원
257,REST,[해외주식] 기본시세,해외지수분봉조회,v1_해외주식-031,FHKST03030200,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/inquire-time-indexchartprice,https://openapi.koreainvestment.com:9443,모의투자 미지원
258,REST,[해외주식] 기본시세,해외주식분봉조회,v1_해외주식-030,HHDFS76950200,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/inquire-time-itemchartprice,https://openapi.koreainvestment.com:9443,모의투자 미지원
259,REST,[해외주식] 기본시세,해외주식 현재가상세,v1_해외주식-029,HHDFS76200200,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/price-detail,https://openapi.koreainvestment.com:9443,모의투자 미지원
260,REST,[해외주식] 기본시세,해외주식 업종별코드조회,해외주식-049,HHDFS76370100,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/industry-price,https://openapi.koreainvestment.com:9443,모의투자 미지원
261,REST,[해외주식] 기본시세,해외주식 종목/지수/환율기간별시세(일/주/월/년),v1_해외주식-012,FHKST03030100,FHKST03030100,GET,/uapi/overseas-price/v1/quotations/inquire-daily-chartprice,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
262,REST,[해외주식] 기본시세,해외주식 업종별시세,해외주식-048,HHDFS76370000,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/industry-theme,https://openapi.koreainvestment.com:9443,모의투자 미지원
263,REST,[해외주식] 기본시세,해외주식 현재가 1호가,해외주식-033,HHDFS76200100,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/inquire-asking-price,https://openapi.koreainvestment.com:9443,모의투자 미지원
264,REST,[해외주식] 시세분석,해외주식 거래증가율순위,해외주식-045,HHDFS76330000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/trade-growth,https://openapi.koreainvestment.com:9443,미지원
265,REST,[해외주식] 시세분석,해외주식 기간별권리조회,해외주식-052,CTRGT011R,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/period-rights,https://openapi.koreainvestment.com:9443,모의투자 미지원
266,REST,[해외주식] 시세분석,해외주식 가격급등락,해외주식-038,HHDFS76260000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/price-fluct,https://openapi.koreainvestment.com:9443,미지원
267,REST,[해외주식] 시세분석,해외주식 거래대금순위,해외주식-044,HHDFS76320010,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/trade-pbmn,https://openapi.koreainvestment.com:9443,미지원
268,REST,[해외주식] 시세분석,해외주식 거래량급증,해외주식-039,HHDFS76270000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/volume-surge,https://openapi.koreainvestment.com:9443,미지원
269,REST,[해외주식] 시세분석,해외주식 신고/신저가,해외주식-042,HHDFS76300000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/new-highlow,https://openapi.koreainvestment.com:9443,미지원
270,REST,[해외주식] 시세분석,해외주식 매수체결강도상위,해외주식-040,HHDFS76280000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/volume-power,https://openapi.koreainvestment.com:9443,미지원
271,REST,[해외주식] 시세분석,해외주식 거래회전율순위,해외주식-046,HHDFS76340000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/trade-turnover,https://openapi.koreainvestment.com:9443,미지원
272,REST,[해외주식] 시세분석,해외뉴스종합(제목),해외주식-053,HHPSTH60100C1,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/news-title,https://openapi.koreainvestment.com:9443,미지원
273,REST,[해외주식] 시세분석,당사 해외주식담보대출 가능 종목,해외주식-051,CTLN4050R,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/colable-by-company,https://openapi.koreainvestment.com:9443,미지원
274,REST,[해외주식] 시세분석,해외주식 시가총액순위,해외주식-047,HHDFS76350100,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/market-cap,https://openapi.koreainvestment.com:9443,미지원
275,REST,[해외주식] 시세분석,해외속보(제목),해외주식-055,FHKST01011801,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/brknews-title,https://openapi.koreainvestment.com:9443,미지원
276,REST,[해외주식] 시세분석,해외주식 상승율/하락율,해외주식-041,HHDFS76290000,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/updown-rate,https://openapi.koreainvestment.com:9443,미지원
277,REST,[해외주식] 시세분석,해외주식 권리종합,해외주식-050,HHDFS78330900,모의투자 미지원,GET,/uapi/overseas-price/v1/quotations/rights-by-ice,https://openapi.koreainvestment.com:9443,미지원
278,REST,[해외주식] 시세분석,해외주식 거래량순위,해외주식-043,HHDFS76310010,모의투자 미지원,GET,/uapi/overseas-stock/v1/ranking/trade-vol,https://openapi.koreainvestment.com:9443,미지원
279,WEBSOCKET,[해외주식] 실시간시세,해외주식 실시간호가,실시간-021,HDFSASP0,모의투자 미지원,POST,/tryitout/HDFSASP0,ws://ops.koreainvestment.com:21000,모의투자 미지원
280,WEBSOCKET,[해외주식] 실시간시세,해외주식 지연호가(아시아),실시간-008,HDFSASP1,모의투자 미지원,POST,/tryitout/HDFSASP1,ws://ops.koreainvestment.com:21000,제공 안함
281,WEBSOCKET,[해외주식] 실시간시세,해외주식 실시간지연체결가,실시간-007,HDFSCNT0,모의투자 미지원,POST,/tryitout/HDFSCNT0,ws://ops.koreainvestment.com:21000,모의투자 미지원
282,WEBSOCKET,[해외주식] 실시간시세,해외주식 실시간체결통보,실시간-009,H0GSCNI0,H0GSCNI9,POST,/tryitout/H0GSCNI0,ws://ops.koreainvestment.com:21000,ws://ops.koreainvestment.com:31000
